time,open,high,low,close,MA,MA,MA,Volume,Volume MA,%R
2020-05-19T19:00:00Z,1.09463,1.09477,1.09251,1.09256,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-19T20:00:00Z,1.09256,1.09278,1.09185,1.09222,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-19T21:00:00Z,1.09222,1.093,1.09187,1.09208,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-19T22:00:00Z,1.09208,1.09252,1.09189,1.09243,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-19T23:00:00Z,1.09243,1.0927499999999999,1.09229,1.0926,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T00:00:00Z,1.0926,1.09396,1.0926,1.09383,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T01:00:00Z,1.09383,1.09451,1.09367,1.0944,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T02:00:00Z,1.0944,1.09452,1.09358,1.09371,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T03:00:00Z,1.09371,1.09469,1.09371,1.09405,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T04:00:00Z,1.09405,1.09421,1.09375,1.09411,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T05:00:00Z,1.09411,1.0945799999999999,1.09401,1.09432,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T06:00:00Z,1.09432,1.09491,1.0937999999999999,1.09422,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T07:00:00Z,1.09422,1.09601,1.09379,1.09427,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T08:00:00Z,1.09427,1.09473,1.09403,1.09422,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T09:00:00Z,1.09422,1.09562,1.09385,1.09503,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T10:00:00Z,1.09503,1.0954,1.09381,1.09539,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T11:00:00Z,1.09539,1.09653,1.09501,1.0964099999999999,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T12:00:00Z,1.0964099999999999,1.09668,1.09493,1.09651,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T13:00:00Z,1.09651,1.09837,1.09622,1.09811,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T14:00:00Z,1.09811,1.09991,1.09777,1.09912,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T15:00:00Z,1.09912,1.09958,1.09769,1.09794,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T16:00:00Z,1.09794,1.09808,1.09712,1.09757,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T17:00:00Z,1.09757,1.09889,1.09732,1.09808,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T18:00:00Z,1.09808,1.09924,1.0979,1.09857,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T19:00:00Z,1.09857,1.09875,1.09804,1.09812,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T20:00:00Z,1.09812,1.09818,1.09749,1.09776,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T21:00:00Z,1.09776,1.0982,1.09748,1.09778,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T22:00:00Z,1.09778,1.09814,1.09778,1.0979,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20T23:00:00Z,1.0979,1.09808,1.09785,1.09798,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21T00:00:00Z,1.09798,1.09798,1.0968,1.09683,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21T01:00:00Z,1.09683,1.09688,1.09567,1.09613,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21T02:00:00Z,1.09613,1.09638,1.09567,1.09631,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21T03:00:00Z,1.09631,1.09639,1.09586,1.09608,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21T04:00:00Z,1.09608,1.0964099999999999,1.09596,1.09606,NaN,NaN,NaN,NaN,NaN,NaN
