time,open,high,low,close,MA,MA,MA,Volume,Volume MA,%R
2020-09-24T18:00:00Z,1.1679599999999999,1.16816,1.16656,1.16664,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-24T19:00:00Z,1.16664,1.16746,1.16635,1.1669,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-24T20:00:00Z,1.1669,1.16747,1.16655,1.16677,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-24T21:00:00Z,1.16677,1.16755,1.16662,1.16692,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-24T22:00:00Z,1.16692,1.16746,1.16685,1.16726,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-24T23:00:00Z,1.16726,1.16772,1.167,1.16736,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T00:00:00Z,1.16736,1.16747,1.16642,1.1668,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T01:00:00Z,1.1668,1.16745,1.16627,1.16676,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T02:00:00Z,1.16676,1.16722,1.16643,1.16668,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T03:00:00Z,1.16668,1.16696,1.16629,1.16651,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T04:00:00Z,1.16651,1.16686,1.16619,1.16679,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T05:00:00Z,1.16679,1.1672,1.16654,1.16682,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T06:00:00Z,1.16682,1.16791,1.16643,1.1676,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T07:00:00Z,1.1676,1.16851,1.16641,1.16767,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T08:00:00Z,1.16767,1.16791,1.16516,1.16558,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T09:00:00Z,1.16558,1.16559,1.16387,1.16437,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T10:00:00Z,1.16437,1.16527,1.16393,1.16438,NaN,NaN,NaN,NaN,NaN,NaN
2020-09-25T11:00:00Z,1.16438,1.16451,1.16272,1.1631,NaN,NaN,NaN,NaN,NaN,NaN
